label,x1,y1,x2,y2,x3,y3,x4,y4,path_img
Diamant_4,174,117,242,117,174,179,242,179,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/43_Diamant4.jpg
Triangle_4,111,53,164,53,111,106,164,106,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/87_Triangle4.jpg
Diamant_3,152,100,182,100,152,124,182,124,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/190_Diamant3.jpg
Cercle_3,115,60,167,60,115,106,167,106,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/230_Cercle3.jpg
Cercle_2,59,139,135,139,59,213,135,213,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/121_Cercle2.jpg
Triangle_4,138,57,187,57,138,107,187,107,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/127_Triangle4.jpg
Cercle_4,82,107,132,107,82,152,132,152,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/221_Cercle4.jpg
Diamant_3,171,149,224,149,171,197,224,197,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/80_Diamant3.jpg
Triangle_4,127,82,184,82,127,139,184,139,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/16_Triangle4.jpg
Cercle_2,122,94,225,94,122,205,225,205,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/149_Cercle2.jpg
Diamant_2,1,49,62,49,1,113,62,113,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/430_Diamant2.jpg
Hexagone_2,158,160,236,160,158,237,236,237,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/144_Hexagone2.jpg
Diamant_5,115,50,168,50,115,115,168,115,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant5/20_Diamant5.jpg
Triangle_2,124,56,175,56,124,100,175,100,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/109_Triangle2.jpg
Diamant_2,135,63,209,63,135,134,209,134,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/96_Diamant2.jpg
Cercle_3,73,94,189,94,73,209,189,209,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/498_Cercle3.jpg
Cercle_5,124,30,203,30,124,109,203,109,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle5/3_Cercle5.jpg
Cercle_2,1,144,88,144,1,229,88,229,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/147_Cercle2.jpg
Hexagone_4,148,37,195,37,148,87,195,87,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/151_Hexagone4.jpg
Triangle_4,78,79,142,79,78,139,142,139,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/183_Triangle4.jpg
Diamant_4,68,117,103,117,68,157,103,157,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/226_Diamant4.jpg
Hexagone_4,87,116,191,116,87,210,191,210,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/174_Hexagone4.jpg
Triangle_5,242,143,288,143,242,193,288,193,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle5/40_Triangle5.jpg
Diamant_4,140,105,169,105,140,133,169,133,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/60_Diamant4.jpg
Triangle_2,217,55,260,55,217,98,260,98,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/70_Triangle2.jpg
Triangle_2,68,35,136,35,68,109,136,109,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/277_Triangle2.jpg
Cercle_3,178,38,265,38,178,124,265,124,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/104_Cercle3.jpg
Cercle_2,58,136,99,136,58,173,99,173,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/221_Cercle2.jpg
Hexagone_4,116,56,204,56,116,136,204,136,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/135_Hexagone4.jpg
No_Shape,120,61,215,61,120,148,215,148,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/65_NoShape.jpg
Cercle_4,128,141,161,141,128,174,161,174,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/148_Cercle4.jpg
Cercle_4,206,104,284,104,206,174,284,174,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/192_Cercle4.jpg
Triangle_2,160,51,191,51,160,81,191,81,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/205_Triangle2.jpg
Cercle_2,82,25,195,25,82,129,195,129,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/304_Cercle2.jpg
Cercle_3,192,97,253,97,192,158,253,158,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/340_Cercle3.jpg
Hexagone_3,147,32,249,32,147,131,249,131,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone3/50_Hexagone3.jpg
Cercle_3,157,110,205,110,157,157,205,157,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/349_Cercle3.jpg
Diamant_4,188,104,240,104,188,154,240,154,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/74_Diamant4.jpg
Triangle_3,81,51,138,51,81,112,138,112,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/207_Triangle3.jpg
Diamant_4,137,108,190,108,137,161,190,161,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/20_Diamant4.jpg
Diamant_2,82,63,235,63,82,202,235,202,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/56_Diamant2.jpg
Triangle_4,142,8,183,8,142,64,183,64,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/123_Triangle4.jpg
No_Shape,59,35,124,35,59,98,124,98,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/298_NoShape.jpg
Cercle_3,158,95,220,95,158,157,220,157,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/345_Cercle3.jpg
Cercle_3,50,43,187,43,50,164,187,164,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/264_Cercle3.jpg
Diamant_3,44,0,120,0,44,57,120,57,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/214_Diamant3.jpg
Cercle_3,79,78,163,78,79,156,163,156,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/178_Cercle3.jpg
No_Shape,152,130,235,130,152,209,235,209,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/66_NoShape.jpg
Diamant_3,21,0,127,0,21,64,127,64,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/82_Diamant3.jpg
Diamant_3,43,150,119,150,43,231,119,231,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/187_Diamant3.jpg
Diamant_3,218,30,320,30,218,164,320,164,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/36_Diamant3.jpg
Hexagone_4,103,103,149,103,103,150,149,150,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/206_Hexagone4.jpg
Cercle_5,54,134,118,134,54,204,118,204,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle5/79_Cercle5.jpg
Triangle_3,169,43,223,43,169,116,223,116,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/37_Triangle3.jpg
Cercle_5,162,75,188,75,162,97,188,97,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle5/166_Cercle5.jpg
Cercle_4,96,91,214,91,96,205,214,205,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/196_Cercle4.jpg
Triangle_2,86,54,131,54,86,98,131,98,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/409_Triangle2.jpg
Hexagone_4,43,137,104,137,43,197,104,197,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/161_Hexagone4.jpg
Diamant_4,210,117,308,117,210,215,308,215,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/231_Diamant4.jpg
Diamant_2,95,55,172,55,95,134,172,134,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/204_Diamant2.jpg
Hexagone_2,148,161,186,161,148,202,186,202,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone2/120_Hexagone2.jpg
Cercle_2,122,95,228,95,122,207,228,207,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/148_Cercle2.jpg
Hexagone_5,134,68,242,68,134,176,242,176,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone5/165_Hexagone5.jpg
Cercle_2,3,98,48,98,3,140,48,140,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/101_Cercle2.jpg
No_Shape,49,61,128,61,49,135,128,135,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/64_NoShape.jpg
Cercle_4,12,58,94,58,12,130,94,130,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle4/22_Cercle4.jpg
Cercle_2,254,87,309,87,254,137,309,137,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle2/242_Cercle2.jpg
Cercle_3,144,111,200,111,144,180,200,180,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/506_Cercle3.jpg
Hexagone_3,181,120,212,120,181,170,212,170,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone3/73_Hexagone3.jpg
Cercle_3,192,67,270,67,192,148,270,148,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/436_Cercle3.jpg
Diamant_2,114,113,224,113,114,215,224,215,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant2/379_Diamant2.jpg
No_Shape,187,72,266,72,187,148,266,148,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/NoShapes/230_NoShape.jpg
Hexagone_4,108,98,150,98,108,141,150,141,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Hexagones/Hexagone4/196_Hexagone4.jpg
Diamant_3,139,72,199,72,139,126,199,126,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/287_Diamant3.jpg
Triangle_2,168,51,202,51,168,85,202,85,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/155_Triangle2.jpg
Diamant_3,189,103,229,103,189,141,229,141,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant3/24_Diamant3.jpg
Triangle_3,168,93,224,93,168,146,224,146,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/64_Triangle3.jpg
Cercle_3,72,24,184,24,72,136,184,136,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Cercles/Cercle3/189_Cercle3.jpg
Triangle_3,160,128,203,128,160,172,203,172,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle3/54_Triangle3.jpg
Diamant_4,200,61,302,61,200,153,302,153,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Diamants/Diamant4/58_Diamant4.jpg
Triangle_2,0,40,97,40,0,157,97,157,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle2/107_Triangle2.jpg
Triangle_4,175,95,231,95,175,152,231,152,/home/ziz/school/log635/labo/LOG635-TP1/EnsembleA/Triangles/Triangle4/211_Triangle4.jpg
